time,x,y,z,x_velocity,y_velocity,z_velocity
308,150.0,150.0,162.547309305,13.7522133663,13.4806999161,25.7871051452
309,143.553357369,150.0,180.597485336,5.00362577011,10.528459288,29.1488762723
310,150.0,145.177333502,157.787532521,15.9487913481,11.8425128685,25.7593123583
311,134.962546126,145.836198133,218.497248877,-4.24718624955,0.846816365363,29.4476846642
312,149.87145768,150.0,165.470173174,13.684593339,12.6975128296,25.6519872221
313,141.663713163,150.0,172.242198035,7.24254790391,12.8417031121,27.9430879111
314,148.676746348,150.0,185.204056166,7.77649594021,7.9291481707,29.2038939233
315,143.3268035,150.0,171.601801225,5.86320789569,13.8725154775,28.123597774
316,150.0,121.238672773,127.707869941,44.4623483402,19.6149642082,29.2429566105
317,150.0,116.093412657,142.917216476,54.7209588585,21.7182648735,49.7171129488
318,150.0,116.330256285,142.975598286,54.7151685685,22.3518127154,49.8965300628
319,150.0,115.665430986,142.829496314,54.3999098652,21.1137904557,49.426733208
320,150.0,115.859117158,142.836737819,54.5891692442,21.7517541113,49.6451290891
321,150.0,115.913242867,142.89860763,54.6008375962,21.2702840552,49.5560184885
322,150.0,115.679549994,142.741792235,54.9248829589,21.1029277838,49.4528846837
323,150.0,115.712493325,142.733924446,54.7322028165,21.6248327618,49.5625217251
324,150.0,115.34577181,142.578170904,54.9548220047,20.91248367,49.3061328162
325,150.0,115.789507645,142.757667685,54.9848045007,21.6643143738,49.6253832122
326,150.0,115.966519935,142.897665591,54.5565735684,21.4409001055,49.595425456
327,150.0,116.50742756,143.076462405,54.444790256,22.7523084617,50.0209809019
328,150.0,116.783296648,143.147983702,54.1871115155,23.401260115,50.1664150382
329,150.0,115.958305379,142.841458327,54.6696810874,21.9074142058,49.7019208186
330,150.0,116.105661326,142.861127176,54.8542602913,22.0864388304,49.7892102876
331,150.0,116.307332277,143.005438877,54.3801226427,22.1792717312,49.8421316061
332,150.0,115.511434795,142.683221872,55.0845023012,20.8970165716,49.379632828
333,150.0,115.696770014,142.741029162,55.0551509193,21.1653273439,49.4930289117
334,150.0,115.749194907,142.811831562,55.143312466,21.1153623235,49.5378455514
335,150.0,114.69092642,142.414652178,55.1442032684,19.0731606827,48.6094793701
336,150.0,116.299827918,142.978892511,54.4188391133,22.0881587838,49.8009961305
337,150.0,116.075787265,142.96055575,54.6546386031,21.8373118316,49.754333877
338,150.0,115.34653953,142.569599746,55.2043200087,20.7379047761,49.2885098576
339,150.0,116.557597399,143.030528816,54.6054719895,22.9019398939,50.052061759
340,150.0,115.454466287,142.628402581,55.1384759645,20.8964521798,49.3627533903
341,150.0,116.39045128,143.049485259,54.2305381955,22.603894354,49.9247219535
342,150.0,115.987971688,142.866985784,54.6598291668,21.9966829389,49.7368665441
343,150.0,115.675905962,142.299675392,44.5195155211,21.1919117973,45.74445531
344,150.0,147.155161529,156.759656419,16.6105707597,13.4149084345,24.1749103623
345,150.0,144.868930709,163.67184458,14.5334078426,8.38317967889,27.8522173772
